"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000035692.8",531.38438625088,-1.80135294906961,0.534844132188872,-3.36799609579243,0.000757166683345611,0.0973121438102685,"Isg15","100038882"
"ENSMUSG00000066170.8",196.221637703616,1.65494359127129,0.492024843355299,3.36353664580353,0.000769506193114508,0.0981966307284351,NA,NA
"ENSMUSG00000003279.18",226.494848404157,-1.57759731855964,0.472699611475407,-3.33742038339228,0.00084559944354749,0.107146977378521,"Dlgap1","224997"
"ENSMUSG00000024338.16",3970.09831176833,-1.6116797564723,0.48336492648593,-3.33429189450967,0.000855168647970176,0.107513535782957,"Psmb8","16913"
"ENSMUSG00000076435.4",3387.54716523228,-1.26676229009143,0.380114431237274,-3.33258141756973,0.000860442902948134,0.107513535782957,"Acsf2","264895"
"ENSMUSG00000030630.17",211.669649077317,1.42863127929794,0.430674896271823,3.31719190429955,0.000909271386098369,0.112831172759089,"Fah","14085"
"ENSMUSG00000063672.8",408.855027489253,-1.39717415751232,0.422530977126943,-3.30667864167639,0.000944091310978679,0.116349554509859,"Nkx6-3","74561"
"ENSMUSG00000117694.2",69.6712939172478,2.17076573457156,0.657427128020552,3.3019108005286,0.000960286028849537,0.117540316442787,NA,NA
"ENSMUSG00000038768.9",9.76689247721805,-6.63629324466113,2.01777258258995,-3.28892031833587,0.00100572491892357,0.122270327474268,"9130409I23Rik","619326"
"ENSMUSG00000030000.11",69.693718573757,-2.03576281410254,0.620083358401645,-3.2830470073411,0.00102691540309242,0.124008649985517,"Add2","11519"
"ENSMUSG00000089960.2",30182.5986027831,1.57059291453818,0.478789970537717,3.28033795857145,0.00103682805293294,0.124370981042816,"Ugt1a1","394436"
"ENSMUSG00000068220.7",157.871810907639,-2.33072955595709,0.710925054588398,-3.27844621724086,0.00104380252678566,0.124378403075857,"Lgals1","16852"
"ENSMUSG00000028713.18",14704.2909229828,2.4717113439774,0.755030903299412,3.27365586385439,0.00106165821645553,0.124819066430833,"Cyp4b1","13120"
"ENSMUSG00000031775.6",2808.62918937479,1.39810134608987,0.427156888947784,3.27303944350239,0.00106397628772526,0.124819066430833,"Pllp","67801"
"ENSMUSG00000031257.15",17.8156795209081,-3.75713304524006,1.14830670476905,-3.271889844095,0.00106831191187397,0.124819066430833,"Nox1","237038"
"ENSMUSG00000056973.7",2064.23852348707,2.08289181425595,0.637570865024034,3.26691812396013,0.00108725120155867,0.126212328191259,"Ces1d","104158"
"ENSMUSG00000029304.15",101.679022661301,-3.17175773614994,0.972160822271146,-3.26258543184258,0.00110400891205281,0.127336104836963,"Spp1","20750"
"ENSMUSG00000024032.8",809.866775972742,-6.40846143046357,1.96711300509411,-3.25780034693888,0.00112279371225811,0.1279704449697,"Tff1","21784"
"ENSMUSG00000006642.4",600.500696714714,1.47353430710602,0.45276298461272,3.25453793084794,0.00113576992000548,0.1279704449697,"Tcf23","69852"
"ENSMUSG00000028194.16",866.390648202731,2.09537727858147,0.64385458219931,3.25442628896726,0.00113621641727455,0.1279704449697,"Ddah1","69219"
"ENSMUSG00000032602.7",6905.87596869235,1.16745635304999,0.358776727299629,3.25399131052053,0.00113795760546612,0.1279704449697,"Slc25a20","57279"
"ENSMUSG00000024661.8",206188.61874752,-1.23122514435581,0.379177241747844,-3.24709663132837,0.0011658879803655,0.129841957989952,"Fth1","14319"
"ENSMUSG00000117525.2",28.0492092033831,-2.72926424270806,0.840722971306303,-3.24633004670655,0.00116903224556062,0.129841957989952,NA,NA
"ENSMUSG00000067547.7",130.381119438151,-2.03789947827654,0.628180796899327,-3.24412890100354,0.00117810419052512,0.130046801841218,"Gm7666","665511"
"ENSMUSG00000076652.5",19.9961388683479,-4.79339737524155,1.47846154958431,-3.24215220652122,0.00118630646217534,0.13015373276781,"Ighv7-3","629822"
"ENSMUSG00000114114.2",8.84228913855006,-6.49791452604058,2.00629006265209,-3.23877122605645,0.001200458209889,0.130908148912319,NA,NA
"ENSMUSG00000002250.17",7329.98831781159,-1.14480231816759,0.353875006366081,-3.23504711430029,0.00121622659958445,0.131828706062187,"Ppard","19015"
"ENSMUSG00000033634.8",303.492188807122,-2.20114076690839,0.684958665723368,-3.21353809661467,0.00131110403555105,0.141261646177664,"Nat8f2","93673"
"ENSMUSG00000026473.17",5784.76388227047,1.21669279087831,0.380773186198525,3.19532161133837,0.00139675099253217,0.149593694098996,"Glul","14645"
"ENSMUSG00000020282.19",741.457438736864,1.18537711695373,0.373107692449777,3.17703746382365,0.00148787814456654,0.158410600326543,"Rhbdf1","13650"
"ENSMUSG00000088088.2",9.51869998044099,-6.59804291345964,2.07828599861164,-3.17475213607143,0.0014996454088619,0.15872423436266,"Rmrp","19782"
"ENSMUSG00000040264.11",91.4716220787637,-2.40827969842083,0.76159899824004,-3.16213611623185,0.00156616338323424,0.16479519154698,"Gbp2b","14468"
"ENSMUSG00000031558.16",316.795005550283,1.71872009328137,0.544286421577079,3.15774934877368,0.00158992198651498,0.166322478507931,"Slit2","20563"
"ENSMUSG00000058626.17",91.9582404481581,-4.36093071009436,1.3854812462332,-3.14759273858864,0.00164620876894788,0.171215227628204,"Capn11","268958"
"ENSMUSG00000027801.8",18559.8962910768,1.79802303920953,0.571636020657661,3.1453984252793,0.00165860779149775,0.171513390761028,"Tm4sf4","229302"
"ENSMUSG00000026170.7",4428.15580681278,2.3679683248717,0.755263071118822,3.13528943148759,0.00171684632171422,0.176521233523452,"Cyp27a1","104086"
"ENSMUSG00000018574.15",20816.5423203892,1.14041202067832,0.365291448589051,3.12192367240787,0.00179673514866794,0.18368554278399,"Acadvl","11370"
"ENSMUSG00000078532.10",249.046421827019,1.98816784292173,0.63899380897723,3.11140392127427,0.00186200054933086,0.189282349627741,"Nkain1","67149"
